,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
8,23,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,3.0,4.0,"3,5",Wn-3: Adjust fishing time
9,23,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,3.0,4.0,"3,5",Wn-4: Adjust fishing time
10,24,2,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,16.0,20.0,18,Wn-3: Adjust fishing time
11,24,2,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,16.0,20.0,18,Wn-8: Repair boat
12,24,2,1,1,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,16.0,20.0,18,Wn-11: Be careful
14,24,2,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3.0,4.0,"3,5",Wn-1: Stay alert/retrieve fishing gear
18,24,5,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,5.0,7.0,6,Wn-8: Adjust fishing time
19,24,5,1,1,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5.0,7.0,6,Wn-12: Repair boat
20,24,5,1,1,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,5.0,7.0,6,Wn-15: Be careful
29,26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,3.0,3.0,3,Wn-3: Be careful
30,26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3.0,3.0,3,Wn-7: No action
31,26,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3.0,3.0,3,Wn-8: Stay alert/retrieve fishing gear
35,26,7,1,1,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,16.0,20.0,18,Wn-14: Be careful
39,27,4,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2.0,2.0,2,Wn-8: Adjust fishing time
40,27,4,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.0,2.0,2,Wn-10: Be careful
42,27,4,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-2: Adjust fishing time
43,27,4,1,1,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,16.0,20.0,18,Wn-7: Repair boat
44,27,4,1,1,0,1,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-14: Be careful
51,27,5,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-1: Adjust fishing time
52,27,5,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-3: Repair boat
53,27,5,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,16.0,20.0,18,Wn-8: Be careful
55,27,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,16.0,20.0,18,Wn-3: Adjust fishing time
56,27,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,16.0,20.0,18,Wn-4: Adjust fishing time
57,27,5,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,16.0,20.0,18,Wn-9: Be careful
65,28,4,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,16.0,20.0,18,Wn-2: Adjust fishing time
66,28,4,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,16.0,20.0,18,Wn-5: Repair boat
67,28,4,1,1,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16.0,20.0,18,Wn-10: Be careful
69,28,5,1,1,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16.0,20.0,18,Wn-1: Adjust fishing time
70,28,5,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,6,16.0,20.0,18,Wn-4: Repair boat
71,28,5,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,16.0,20.0,18,Wn-7: Be careful
82,28,6,1,1,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,16.0,24.0,20,Wn-1: Adjust fishing time
83,28,6,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,16.0,24.0,20,Wn-4: Repair boat
85,28,7,1,1,0,1,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,24.0,28.0,26,Wn-12: Adjust fishing time
86,28,7,1,1,0,1,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,24.0,28.0,26,Wn-15: Repair boat
87,28,7,1,1,0,1,3,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7,24.0,28.0,26,Wn-16: Be careful
97,28,8,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,2.0,5.0,"3,5",Wn-8: Adjust fishing time
98,28,8,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2.0,5.0,"3,5",Wn-9: Repair boat
104,29,5,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,1.0,2.0,"1,5",Wn-2: Be careful
105,29,5,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,1.0,2.0,"1,5",Wn-3: Be careful
111,29,6,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5.0,5.0,5,Wn-1: Stay alert/retrieve fishing gear
112,29,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,5.0,5.0,5,Wn-2: Be careful
113,29,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,5.0,5.0,5,Wn-3: Repair boat
116,29,7,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,20.0,28.0,24,Wn-2: Adjust fishing time
117,29,7,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,20.0,28.0,24,Wn-7: Repair boat
118,29,7,1,1,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,20.0,28.0,24,Wn-14: Be careful
127,29,8,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,3.0,4.0,"3,5",Wn-7: No action
128,29,8,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,3.0,4.0,"3,5",Wn-8: Stay alert/retrieve fishing gear
131,29,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,5.0,7.0,6,Wn-8: Adjust fishing time
132,29,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,5.0,7.0,6,Wn-9: Repair boat
133,29,8,1,1,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5.0,7.0,6,Wn-10: Be careful
136,29,9,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,16.0,20.0,18,Wn-2: Adjust fishing time
137,29,9,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,16.0,20.0,18,Wn-5: Repair boat
138,29,9,1,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9,16.0,20.0,18,Wn-8: Be careful
149,29,10,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,1.0,2.0,"1,5",Wn-3: Be careful
150,29,10,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,1.0,2.0,"1,5",Wn-8: Stay alert/retrieve fishing gear
154,29,10,1,1,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,16.0,20.0,18,Wn-13: Be careful
158,29,13,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,8.0,12.0,10,Wn-9: Repair boat
159,29,13,1,1,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,8.0,12.0,10,Wn-10: Be careful
164,30,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,20.0,32.0,26,Wn-3: Adjust fishing time
165,30,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,20.0,32.0,26,Wn-8: Be careful
166,30,7,1,1,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,20.0,32.0,26,Wn-11: Be careful
178,30,12,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,12,16.0,20.0,18,Wn-3: Adjust fishing time
179,30,12,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,16.0,20.0,18,Wn-8: Repair boat
180,30,12,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,16.0,20.0,18,Wn-9: Be careful
187,31,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,4.0,5.0,"4,5",Wn-2: Be careful
188,31,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,4.0,5.0,"4,5",Wn-3: Repair boat
189,31,7,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,4.0,5.0,"4,5",Wn-4: No action
197,31,10,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,3.0,3.0,3,Wn-2: No action
198,31,10,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,3.0,3.0,3,Wn-8: Stay alert/retrieve fishing gear
200,31,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,1.0,2.0,"1,5",Wn-2: Be careful
201,31,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,1.0,2.0,"1,5",Wn-3: Be careful
202,31,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,10,1.0,2.0,"1,5",Wn-4: Stay alert/retrieve fishing gear
216,33,6,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3.0,3.0,3,Wn-1: Repair boat
217,33,6,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,3.0,3.0,3,Wn-8: Stay alert/retrieve fishing gear
224,33,9,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,2.0,3.0,"2,5",Wn-7: Be careful
225,33,9,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,2.0,3.0,"2,5",Wn-8: Stay alert/retrieve fishing gear
229,33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,16.0,20.0,18,Wn-3: Adjust fishing time
230,33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,16.0,20.0,18,Wn-8: Repair boat
231,33,9,1,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,16.0,20.0,18,Wn-9: Be careful
235,33,10,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2.0,3.0,"2,5",Wn-1: Stay alert/retrieve fishing gear
236,33,10,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2.0,3.0,"2,5",Wn-2: Be careful
237,33,10,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,2.0,3.0,"2,5",Wn-8: Stay alert/retrieve fishing gear
252,34,7,1,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2.0,2.0,2,Wn-1: Stay alert/retrieve fishing gear
253,34,7,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2.0,2.0,2,Wn-2: Be careful
254,34,7,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,2.0,2.0,2,Wn-3: Be careful
257,34,8,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2.0,3.0,"2,5",Wn-1: Stay alert/retrieve fishing gear
258,34,8,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8,2.0,3.0,"2,5",Wn-2: Be careful
261,34,8,1,1,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,16.0,20.0,18,Wn-1: Adjust fishing time
262,34,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,8,16.0,20.0,18,Wn-4: Repair boat
263,34,8,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,16.0,20.0,18,Wn-7: Be careful
265,34,10,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1.0,1.0,1,Wn-1: No action
266,34,10,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,1.0,1.0,1,Wn-3: Stay alert/retrieve fishing gear
271,34,14,1,2,0,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16.0,20.0,18,Wn-1: Be careful
272,34,14,1,2,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,14,16.0,20.0,18,Wn-4: Adjust fishing time
273,34,14,1,2,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,16.0,20.0,18,Wn-9: Stay alert/retrieve fishing gear
277,35,8,1,1,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,14,16.0,20.0,18,Wn-7: Adjust fishing time
278,35,8,1,1,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,16.0,20.0,18,Wn-9: Repair boat
279,35,8,1,1,0,1,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16.0,20.0,18,Wn-11: Be careful
282,35,10,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2.0,3.0,"2,5",Wn-1: Stay alert/retrieve fishing gear
283,35,10,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2.0,3.0,"2,5",Wn-2: Be careful
284,35,10,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,2.0,3.0,"2,5",Wn-7: No action
286,35,10,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1.0,2.0,"1,5",Wn-1: Stay alert/retrieve fishing gear
287,35,10,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,1.0,2.0,"1,5",Wn-2: Be careful
294,35,10,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,4.0,5.0,"4,5",Wn-1: No action
295,35,10,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,4.0,5.0,"4,5",Wn-8: Stay alert/retrieve fishing gear
297,35,10,1,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,11,16.0,20.0,18,Wn-3: Adjust fishing time
298,35,10,1,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,16.0,20.0,18,Wn-8: Repair boat
299,35,10,1,2,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16.0,20.0,18,Wn-11: Be careful
307,35,13,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,3.0,4.0,"3,5",Wn-7: Be careful
308,35,13,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13,3.0,4.0,"3,5",Wn-8: Stay alert/retrieve fishing gear
312,35,15,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3.0,3.0,3,Wn-1: Stay alert/retrieve fishing gear
313,35,15,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,3.0,3.0,3,Wn-2: Be careful
314,35,15,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,15,3.0,3.0,3,Wn-4: No action
316,35,15,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,3.0,3.0,3,Wn-3: Be careful
317,35,15,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,3.0,3.0,3,Wn-7: No action
318,35,15,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,15,3.0,3.0,3,Wn-8: Stay alert/retrieve fishing gear
324,36,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,4.0,5.0,"4,5",Wn-2: Be careful
325,36,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,4.0,5.0,"4,5",Wn-7: No action
326,36,7,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,4.0,5.0,"4,5",Wn-8: Stay alert/retrieve fishing gear
333,36,9,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,2.0,2.0,2,Wn-3: Be careful
334,36,9,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,2.0,2.0,2,Wn-8: Stay alert/retrieve fishing gear
336,36,10,1,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,10,20.0,24.0,22,Wn-5: Adjust fishing time
337,36,10,1,1,0,1,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,10,20.0,24.0,22,Wn-14: Repair boat
338,36,10,1,1,0,1,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,20.0,24.0,22,Wn-17: Be careful
347,36,13,1,1,0,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,16.0,20.0,18,Wn-13: Adjust fishing time
348,36,13,1,1,0,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,16.0,20.0,18,Wn-14: Repair boat
349,36,13,1,1,0,1,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,13,16.0,20.0,18,Wn-16: Be careful
355,36,14,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2.0,2.0,2,Wn-1: Stay alert/retrieve fishing gear
356,36,14,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,14,2.0,2.0,2,Wn-2: Be careful
358,36,14,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,3.0,4.0,"3,5",Wn-1: Stay alert/retrieve fishing gear
359,36,14,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,14,3.0,4.0,"3,5",Wn-2: Be careful
