Perceived of Accuracy,Sign Used
80.0,Wn-3
80.0,Wn-4
100.0,Wn-3
100.0,Wn-8
100.0,Wn-11
75.0,Wn-1
100.0,Wn-8
100.0,Wn-12
100.0,Wn-15
100.0,Wn-3
100.0,Wn-7
100.0,Wn-8
40.0,Wn-14
100.0,Wn-8
100.0,Wn-10
100.0,Wn-2
100.0,Wn-7
100.0,Wn-14
100.0,Wn-1
100.0,Wn-3
100.0,Wn-8
100.0,Wn-3
100.0,Wn-4
100.0,Wn-9
100.0,Wn-2
100.0,Wn-5
100.0,Wn-10
75.0,Wn-1
75.0,Wn-4
75.0,Wn-7
100.0,Wn-1
100.0,Wn-4
100.0,Wn-12
100.0,Wn-15
100.0,Wn-16
25.0,Wn-8
25.0,Wn-9
100.0,Wn-2
100.0,Wn-3
100.0,Wn-1
100.0,Wn-2
100.0,Wn-3
100.0,Wn-2
100.0,Wn-7
100.0,Wn-14
100.0,Wn-7
100.0,Wn-8
100.0,Wn-8
100.0,Wn-9
100.0,Wn-10
100.0,Wn-2
100.0,Wn-5
100.0,Wn-8
100.0,Wn-3
100.0,Wn-8
50.0,Wn-13
66.66666667,Wn-9
66.66666667,Wn-10
100.0,Wn-3
100.0,Wn-8
100.0,Wn-11
100.0,Wn-3
100.0,Wn-8
100.0,Wn-9
100.0,Wn-2
100.0,Wn-3
100.0,Wn-4
100.0,Wn-2
100.0,Wn-8
100.0,Wn-2
100.0,Wn-3
100.0,Wn-4
100.0,Wn-1
100.0,Wn-8
100.0,Wn-7
100.0,Wn-8
100.0,Wn-3
100.0,Wn-8
100.0,Wn-9
75.0,Wn-1
75.0,Wn-2
75.0,Wn-8
100.0,Wn-1
100.0,Wn-2
100.0,Wn-3
75.0,Wn-1
75.0,Wn-2
100.0,Wn-1
100.0,Wn-4
100.0,Wn-7
50.0,Wn-1
50.0,Wn-3
100.0,Wn-1
100.0,Wn-4
100.0,Wn-9
100.0,Wn-7
100.0,Wn-9
100.0,Wn-11
100.0,Wn-1
100.0,Wn-2
100.0,Wn-7
50.0,Wn-1
50.0,Wn-2
83.33333333,Wn-1
83.33333333,Wn-8
100.0,Wn-3
100.0,Wn-8
100.0,Wn-11
100.0,Wn-7
100.0,Wn-8
75.0,Wn-1
75.0,Wn-2
75.0,Wn-4
66.66666667,Wn-3
66.66666667,Wn-7
66.66666667,Wn-8
85.71428571,Wn-2
85.71428571,Wn-7
85.71428571,Wn-8
100.0,Wn-3
100.0,Wn-8
100.0,Wn-5
100.0,Wn-14
100.0,Wn-17
100.0,Wn-13
100.0,Wn-14
100.0,Wn-16
50.0,Wn-1
50.0,Wn-2
75.0,Wn-1
75.0,Wn-2
86.66666667,Wn-1
86.66666667,Wn-5
86.66666667,Wn-11
100.0,Wn-7
100.0,Wn-8
80.0,Wn-1
80.0,Wn-2
66.66666667,Wn-2
66.66666667,Wn-5
66.66666667,Wn-8
100.0,Wn-11
93.33333333,Wn-12
93.33333333,Wn-13
93.33333333,Wn-16
66.66666667,Wn-2
66.66666667,Wn-4
100.0,Wn-8
100.0,Wn-11
100.0,Wn-14
100.0,Wn-1
100.0,Wn-2
100.0,Wn-3
100.0,Wn-9
100.0,Wn-13
100.0,Wn-1
100.0,Wn-6
100.0,Wn-10
50.0,Wn-1
50.0,Wn-2
50.0,Wn-8
50.0,Wn-4
50.0,Wn-7
50.0,Wn-8
100.0,Wn-1
100.0,Wn-7
75.0,Wn-2
75.0,Wn-7
66.66666667,Wn-3
66.66666667,Wn-7
92.85714286,Wn-1
92.85714286,Wn-6
92.85714286,Wn-10
66.66666667,Wn-1
66.66666667,Wn-2
66.66666667,Wn-4
75.0,Wn-1
75.0,Wn-4
75.0,Wn-9
50.0,Wn-4
50.0,Wn-7
50.0,Wn-8
50.0,Wn-1
50.0,Wn-4
50.0,Wn-7
50.0,Wn-10
60.0,Wn-1
60.0,Wn-2
80.0,Wn-1
80.0,Wn-12
60.0,Wn-1
60.0,Wn-4
100.0,Wn-1
100.0,Wn-3
100.0,Wn-1
100.0,Wn-2
75.0,Wn-3
75.0,Wn-7
75.0,Wn-8
60.0,Wn-1
60.0,Wn-2
60.0,Wn-4
60.0,Wn-7
100.0,Wn-3
100.0,Wn-8
88.88888889,Wn-11
100.0,Wn-1
100.0,Wn-8
100.0,Wn-11
83.33333333,Wn-1
83.33333333,Wn-8
100.0,Wn-5
100.0,Wn-7
100.0,Wn-13
100.0,Wn-1
100.0,Wn-2
100.0,Wn-3
66.66666667,Wn-1
66.66666667,Wn-2
60.0,Wn-1
60.0,Wn-12
80.0,Wn-3
60.0,Wn-1
60.0,Wn-1
60.0,Wn-3
70.0,Wn-2
70.0,Wn-3
100.0,Wn-7
100.0,Wn-8
100.0,Wn-1
100.0,Wn-6
100.0,Wn-10
75.0,Wn-2
75.0,Wn-4
100.0,Wn-7
100.0,Wn-8
75.0,Wn-1
75.0,Wn-7
75.0,Wn-8
100.0,Wn-2
100.0,Wn-7
66.66666667,Wn-2
66.66666667,Wn-7
66.66666667,Wn-2
66.66666667,Wn-4
60.0,Wn-3
60.0,Wn-8
80.0,Wn-1
80.0,Wn-3
71.42857143,Wn-1
71.42857143,Wn-2
60.0,Wn-1
60.0,Wn-3
100.0,Wn-3
100.0,Wn-7
100.0,Wn-8
60.0,Wn-2
66.66666667,Wn-16
66.66666667,Wn-7
66.66666667,Wn-8
100.0,Wn-2
100.0,Wn-6
100.0,Wn-10
66.66666667,Wn-1
66.66666667,Wn-7
85.71428571,Wn-2
85.71428571,Wn-7
85.71428571,Wn-8
60.0,Wn-2
80.0,Wn-3
100.0,Wn-1
100.0,Wn-2
62.5,Wn-2
62.5,Wn-3
70.0,Wn-1
70.0,Wn-2
75.0,Wn-1
75.0,Wn-2
100.0,Wn-8
100.0,Wn-10
100.0,Wn-1
100.0,Wn-2
100.0,Wn-3
100.0,Wn-2
100.0,Wn-4
100.0,Wn-2
100.0,Wn-8
80.0,Wn-3
70.0,Wn-4
80.0,Wn-3
60.0,Wn-5
70.0,Wn-2
70.0,Wn-4
60.0,Wn-1
60.0,Wn-6
100.0,Wn-3
100.0,Wn-5
100.0,Wn-6
100.0,Wn-1
100.0,Wn-2
93.33333333,Wn-12
93.33333333,Wn-13
93.33333333,Wn-16
100.0,Wn-2
100.0,Wn-7
100.0,Wn-14
75.0,Wn-7
75.0,Wn-8
60.0,Wn-1
50.0,Wn-5
80.0,Wn-13
100.0,Wn-1
100.0,Wn-2
66.66666667,Wn-1
66.66666667,Wn-2
70.0,Wn-2
80.0,Wn-4
50.0,Wn-1
50.0,Wn-2
100.0,Wn-7
100.0,Wn-8
100.0,Wn-2
100.0,Wn-4
66.66666667,Wn-1
66.66666667,Wn-2
75.0,Wn-7
75.0,Wn-8
100.0,Wn-1
100.0,Wn-2
71.42857143,Wn-4
71.42857143,Wn-7
71.42857143,Wn-8
100.0,Wn-8
100.0,Wn-11
100.0,Wn-13
100.0,Wn-15
100.0,Wn-9
100.0,Wn-10
100.0,Wn-14
100.0,Wn-1
100.0,Wn-2
100.0,Wn-7
66.66666667,Wn-1
66.66666667,Wn-2
66.66666667,Wn-7
100.0,Wn-1
100.0,Wn-2
100.0,Wn-8
100.0,Wn-2
100.0,Wn-7
100.0,Wn-8
66.66666667,Wn-1
66.66666667,Wn-2
100.0,Wn-1
100.0,Wn-7
100.0,Wn-3
100.0,Wn-11
100.0,Wn-3
100.0,Wn-8
100.0,Wn-11
100.0,Wn-2
100.0,Wn-3
100.0,Wn-4
66.66666667,Wn-3
66.66666667,Wn-8
100.0,Wn-3
100.0,Wn-8
100.0,Wn-9
75.0,Wn-2
75.0,Wn-4
100.0,Wn-1
100.0,Wn-4
100.0,Wn-10
75.0,Wn-7
75.0,Wn-8
100.0,Wn-1
100.0,Wn-6
100.0,Wn-10
75.0,Wn-1
75.0,Wn-2
100.0,Wn-1
100.0,Wn-2
100.0,Wn-8
100.0,Wn-4
100.0,Wn-7
100.0,Wn-8
100.0,Wn-1
100.0,Wn-4
100.0,Wn-7
100.0,Wn-1
100.0,Wn-4
100.0,Wn-7
75.0,Wn-8
75.0,Wn-9
75.0,Wn-13
81.25,Wn-1
81.25,Wn-6
81.25,Wn-10
100.0,Wn-7
100.0,Wn-8
100.0,Wn-1
100.0,Wn-4
100.0,Wn-7
100.0,Wn-10
100.0,Wn-2
100.0,Wn-7
66.66666667,Wn-2
66.66666667,Wn-7
75.0,Wn-1
75.0,Wn-3
75.0,Wn-8
100.0,Wn-1
100.0,Wn-3
100.0,Wn-8
75.0,Wn-2
75.0,Wn-4
100.0,Wn-2
100.0,Wn-4
75.0,Wn-1
75.0,Wn-4
75.0,Wn-7
100.0,Wn-3
100.0,Wn-8
100.0,Wn-12
75.0,Wn-1
75.0,Wn-2
75.0,Wn-3
100.0,Wn-1
100.0,Wn-2
86.66666667,Wn-1
86.66666667,Wn-5
86.66666667,Wn-11
92.85714286,Wn-1
92.85714286,Wn-6
92.85714286,Wn-10
100.0,Wn-1
100.0,Wn-2
100.0,Wn-4
100.0,Wn-7
100.0,Wn-3
100.0,Wn-8
100.0,Wn-9
75.0,Wn-1
75.0,Wn-3
75.0,Wn-8
100.0,Wn-1
100.0,Wn-3
100.0,Wn-8
75.0,Wn-1
75.0,Wn-2
83.33333333,Wn-1
83.33333333,Wn-2
83.33333333,Wn-4
83.33333333,Wn-7
100.0,Wn-3
100.0,Wn-7
100.0,Wn-8
100.0,Wn-9
100.0,Wn-13
100.0,Wn-11
70.0,Wn-2
70.0,Wn-7
70.0,Wn-2
70.0,Wn-5
33.33333333,Wn-2
33.33333333,Wn-8
33.33333333,Wn-12
70.0,Wn-4
40.0,Wn-5
70.0,Wn-2
70.0,Wn-5
80.0,Wn-2
80.0,Wn-13
70.0,Wn-2
60.0,Wn-8
80.0,Wn-1
80.0,Wn-13
33.33333333,Wn-3
50.0,Wn-5
25.0,Wn-11
70.0,Wn-2
80.0,Wn-13
71.42857143,Wn-3
71.42857143,Wn-9
60.0,Wn-5
80.0,Wn-9
75.0,Wn-2
75.0,Wn-13
70.0,Wn-2
70.0,Wn-7
62.5,Wn-1
62.5,Wn-6
80.0,Wn-1
80.0,Wn-3
33.33333333,Wn-1
33.33333333,Wn-4
33.33333333,Wn-8
50.0,Wn-2
50.0,Wn-7
50.0,Wn-10
100.0,Wn-17
70.0,Wn-7
70.0,Wn-13
90.0,Wn-7
90.0,Wn-13
70.0,Wn-7
80.0,Wn-9
80.0,Wn-2
60.0,Wn-7
70.0,Wn-2
70.0,Wn-9
80.0,Wn-2
80.0,Wn-13
50.0,Wn-9
50.0,Wn-11
50.0,Wn-13
57.14285714,Wn-5
57.14285714,Wn-7
80.0,Wn-2
60.0,Wn-7
80.0,Wn-9
60.0,Wn-2
60.0,Wn-7
60.0,Wn-4
60.0,Wn-6
60.0,Wn-6
60.0,Wn-9
80.0,Wn-4
60.0,Wn-6
70.0,Wn-2
60.0,Wn-8
80.0,Wn-9
80.0,Wn-13
60.0,Wn-4
60.0,Wn-6
70.0,Wn-2
70.0,Wn-7
60.0,Wn-3
33.33333333,Wn-6
50.0,Wn-9
75.0,Wn-13
70.0,Wn-8
80.0,Wn-11
80.0,Wn-4
70.0,Wn-7
80.0,Wn-9
80.0,Wn-4
80.0,Wn-9
70.0,Wn-6
70.0,Wn-9
70.0,Wn-4
70.0,Wn-8
80.0,Wn-4
80.0,Wn-13
70.0,Wn-2
80.0,Wn-3
60.0,Wn-8
70.0,Wn-8
80.0,Wn-9
62.5,Wn-4
62.5,Wn-12
70.0,Wn-2
70.0,Wn-6
80.0,Wn-7
80.0,Wn-13
80.0,Wn-4
80.0,Wn-12
80.0,Wn-4
80.0,Wn-12
70.0,Wn-7
70.0,Wn-8
70.0,Wn-4
70.0,Wn-8
70.0,Wn-7
70.0,Wn-8
80.0,Wn-4
80.0,Wn-8
60.0,Wn-5
70.0,Wn-6
60.0,Wn-5
80.0,Wn-13
70.0,Wn-6
70.0,Wn-8
70.0,Wn-4
70.0,Wn-8
70.0,Wn-5
70.0,Wn-8
80.0,Wn-4
60.0,Wn-6
80.0,Wn-12
70.0,Wn-6
60.0,Wn-8
33.33333333,Wn-4
33.33333333,Wn-8
50.0,Wn-6
50.0,Wn-8
42.85714286,Wn-5
42.85714286,Wn-8
70.0,Wn-4
70.0,Wn-8
80.0,Wn-4
80.0,Wn-9
80.0,Wn-4
80.0,Wn-8
100.0,Wn-2
100.0,Wn-3
100.0,Wn-4
100.0,Wn-7
100.0,Wn-4
100.0,Wn-4
100.0,Wn-2
100.0,Wn-4
100.0,Wn-4
100.0,Wn-8
50.0,Wn-4
50.0,Wn-7
50.0,Wn-8
100.0,Wn-4
100.0,Wn-2
100.0,Wn-4
100.0,Wn-4
100.0,Wn-7
33.33333333,Wn-1
66.66666667,Wn-4
33.33333333,Wn-2
50.0,Wn-4
50.0,Wn-7
100.0,Wn-1
100.0,Wn-2
100.0,Wn-4
100.0,Wn-7
40.0,Wn-4
66.66666667,Wn-4
66.66666667,Wn-7
40.0,Wn-2
50.0,Wn-4
50.0,Wn-8
100.0,Wn-8
100.0,Wn-4
100.0,Wn-4
50.0,Wn-5
50.0,Wn-4
100.0,Wn-8
100.0,Wn-9
66.66666667,Wn-4
75.0,Wn-7
50.0,Wn-8
60.0,Wn-4
60.0,Wn-7
60.0,Wn-9
100.0,Wn-2
100.0,Wn-4
100.0,Wn-7
50.0,Wn-4
33.33333333,Wn-7
40.0,Wn-2
50.0,Wn-4
50.0,Wn-7
50.0,Wn-4
50.0,Wn-7
50.0,Wn-4
50.0,Wn-7
75.0,Wn-9
100.0,Wn-4
100.0,Wn-8
50.0,Wn-8
100.0,Wn-2
50.0,Wn-4
100.0,Wn-7
